TimePeriod,GeoType,GeoID,GeoRank,Geography,Number (with AC),Percent (with AC),Percent (without AC)
2023,PUMA2020,4103,8,Lower East Side & Chinatown,,"85.0 (13.0, 17.2)","15.0 (13.0, 17.2)"
2023,PUMA2020,4104,8,Chelsea & Hell's Kitchen,,"89.0^^ (8.2, 12.9)","11.0^^ (8.2, 12.9)"
2023,PUMA2020,4107,8,Upper West Side,,"95.0^^ (3.9, 6.5)","5.0^^ (3.9, 6.5)"
2023,PUMA2020,4108,8,Upper East Side & Roosevelt Island,,"92.0 (6.6, 9.6)","8.0 (6.6, 9.6)"
2023,PUMA2020,4109,8,Morningside Heights & Hamilton Heights,,"85.0^^ (11.8, 17.7)","15.0^^ (11.8, 17.7)"
2023,PUMA2020,4110,8,Harlem,,"93.0^^ (5.4, 9.4)","7.0^^ (5.4, 9.4)"
2023,PUMA2020,4111,8,East Harlem,,"85.0^^ (12.3, 18.5)","15.0^^ (12.3, 18.5)"
2023,PUMA2020,4112,8,Washington Heights & Inwood,,"93.0^^ (5.3, 8.1)","7.0^^ (5.3, 8.1)"
2023,PUMA2020,4121,8,Financial District & Greenwich Village,,**,**
2023,PUMA2020,4165,8,"Midtown, East Midtown, & Flatiron",,"96.0^^ (3.4, 5.4)","4.0^^ (3.4, 5.4)"
2023,PUMA2020,4204,8,Highbridge & Concourse,,"88.0^^ (9.3, 14.6)","12.0^^ (9.3, 14.6)"
2023,PUMA2020,4205,8,Morris Heights & Mount Hope,,"85.0^^ (11.9, 18.3)","15.0^^ (11.9, 18.3)"
2023,PUMA2020,4207,8,"Fordham, Bedford Park, & Norwood",,"89.0^^ (8.0, 13.7)","11.0^^ (8.0, 13.7)"
2023,PUMA2020,4208,8,"Riverdale, Kingsbridge, & Marble Hill",,"89.0^^ (7.7, 13.4)","11.0^^ (7.7, 13.4)"
2023,PUMA2020,4209,8,Soundview & Parkchester,,"89.0^^ (8.5, 13.8)","11.0^^ (8.5, 13.8)"
2023,PUMA2020,4210,8,Co-op City & Throgs Neck,,**,**
2023,PUMA2020,4211,8,Pelham Parkway & Morris Park,,**,**
2023,PUMA2020,4212,8,"Wakefield, Williamsbridge, & Eastchester",,"86.0^^ (10.4, 18.1)","14.0^^ (10.4, 18.1)"
2023,PUMA2020,4221,8,"Melrose, Mott Haven, Longwood, & Hunts Point",,"89.0^^ (8.9, 13.4)","11.0^^ (8.9, 13.4)"
2023,PUMA2020,4263,8,"Morrisania, Tremont, Belmont, & West Farms",,"87.0 (10.9, 15.1)","13.0 (10.9, 15.1)"
2023,PUMA2020,4301,8,Williamsburg & Greenpoint,,"92.0^^ (6.7, 10.3)","8.0^^ (6.7, 10.3)"
2023,PUMA2020,4302,8,Downtown Brooklyn & Fort Greene,,"91.0^^ (6.8, 11.9)","9.0^^ (6.8, 11.9)"
2023,PUMA2020,4303,8,Bedford-Stuyvesant,,"91.0^^ (6.4, 11.7)","9.0^^ (6.4, 11.7)"
2023,PUMA2020,4304,8,Bushwick,,"86.0^^ (10.1, 18.4)","14.0^^ (10.1, 18.4)"
2023,PUMA2020,4305,8,East New York & Cypress Hills,,"76.0 (20.1, 27.7)","24.0 (20.1, 27.7)"
2023,PUMA2020,4306,8,Park Slope & Carroll Gardens,,"91.0^^ (6.9, 11.7)","9.0^^ (6.9, 11.7)"
2023,PUMA2020,4307,8,Sunset Park & Windsor Terrace,,**,**
2023,PUMA2020,4308,8,Crown Heights (North),,"91.0^^ (6.6, 11.4)","9.0^^ (6.6, 11.4)"
2023,PUMA2020,4309,8,Crown Heights (South),,**,**
2023,PUMA2020,4310,8,Bay Ridge & Dyker Heights,,"79.0^^ (16.4, 25.4)","21.0^^ (16.4, 25.4)"
2023,PUMA2020,4311,8,Bensonhurst & Bath Beach,,"90.0^^ (7.7, 12.7)","10.0^^ (7.7, 12.7)"
2023,PUMA2020,4312,8,Borough Park & Kensington,,**,**
2023,PUMA2020,4313,8,Coney Island & Brighton Beach,,"89.0^^ (8.6, 13.6)","11.0^^ (8.6, 13.6)"
2023,PUMA2020,4314,8,Flatbush & Midwood,,"92.0^^ (5.8, 9.5)","8.0^^ (5.8, 9.5)"
2023,PUMA2020,4315,8,Sheepshead Bay & Gravesend (East),,**,**
2023,PUMA2020,4316,8,Ocean Hill & Brownsville,,"88.0^^ (9.0, 15.4)","12.0^^ (9.0, 15.4)"
2023,PUMA2020,4317,8,East Flatbush,,"70.0 (25.6, 33.4)","30.0 (25.6, 33.4)"
2023,PUMA2020,4318,8,Canarsie & Flatlands,,**,**
2023,PUMA2020,4401,8,Astoria & Queensbridge,,"92.0^^ (5.9, 9.7)","8.0^^ (5.9, 9.7)"
2023,PUMA2020,4402,8,"Long Island City, Sunnyside, & Woodside",,"87.0^^ (10.1, 16.8)","13.0^^ (10.1, 16.8)"
2023,PUMA2020,4403,8,Jackson Heights & East Elmhurst,,**,**
